OTU_ID	Rank_1	Rank_2	Rank_3	Rank_4	Rank_5	Rank_6	Rank_7	Rank_8	High_level_taxonomy	HL_hit_percent_id	HL_hit_query_cover
OTU_1	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Bradyrhizobium_1				0	0
OTU_2	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_3	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1				0	0
OTU_4	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1	Pelomonas_1				0	0
OTU_5	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Pseudonocardiales_1	Pseudonocardiaceae_1	Saccharopolyspora_1				0	0
OTU_6	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_7	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1				0	0
OTU_8	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptosporangiales_1	Nocardiopsaceae_1	Nocardiopsis_1				0	0
OTU_9	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Comamonadaceae_1					0	0
OTU_10	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Undibacterium_1				0	0
OTU_11	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1				0	0
OTU_12	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_13	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Streptosporangiales_1	Nocardiopsaceae_1	Nocardiopsis_1				0	0
OTU_14	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_15	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1				0	0
OTU_16	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Afipia_1				0	0
OTU_17	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Burkholderiaceae_1	Cupriavidus_1				0	0
OTU_18	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_19	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_20	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1				0	0
OTU_21	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_22	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Bradyrhizobium_1				0	0
OTU_23	Bacteria_1	Cyanobacteria_1	Cyanobacteriia_1	Chloroplast_1						0	0
OTU_24	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1				0	0
OTU_25	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1				0	0
OTU_26	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1				0	0
OTU_27	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1				0	0
OTU_28	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Xanthobacteraceae_1	Afipia_1				0	0
OTU_29	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Burkholderiales_1	Oxalobacteraceae_1	Undibacterium_1				0	0
OTU_30	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Enterobacterales_1	Enterobacteriaceae_1	Lelliottia_1				0	0
OTU_31	Bacteria_1	Firmicutes_1	Bacilli_1	Bacillales_1	Bacillaceae_1	Bacillus_1				0	0
OTU_32	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Micrococcales_1	Microbacteriaceae_1	Curtobacterium_1				0	0
OTU_33	Bacteria_1	Proteobacteria_1	Gammaproteobacteria_1	Pseudomonadales_1	Pseudomonadaceae_1	Pseudomonas_1				0	0
OTU_34	Bacteria_1	Proteobacteria_1	Alphaproteobacteria_1	Rhizobiales_1	Beijerinckiaceae_1	Methylobacterium-methylorubrum_1				0	0
OTU_35	Bacteria_1	Actinobacteriota_1	Actinobacteria_1	Corynebacteriales_1	Mycobacteriaceae_1	Mycobacterium_1				0	0
