OTU_ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,High_level_taxonomy,HL_hit_percent_id,HL_hit_query_cover,NC25_9,NC25_11,NC25_12,NC25_14,NC25_15,NC25_17,NC25_18,NC25_19,NC25_22,NC25_66,NC25_69,NC25_70,NC25_76,NC25_77,NC25_79,NC25_81,NC25_86,NC25_87,NC25_88,NC25_89,NC25_90,NC25_91,NC25_92,NC25_93,NC25_94,NC25_95,NC25_96,NC25_97,NC25_98,NC25_99,NC25_100,NC25_101,NC25_102,NC25_103,NC25_104,NC25_105,NC25_106,NC25_107,NC25_108,NC25_109,NC25_118,NC25_119,NC25_120,NC25_121,NC25_122,NC25_123,NC25_124,NC25_125,NC25_126,NC25_127,NC25_128,NC25_129,NC25_130,NC25_131,NC25_145,NC25_154,NC25_158,NC25_167,NC25_176,NC25_180,NC25_219,NC25_221,NC25_220,NC25_222,NC25_224,NC25_226,NC25_227,NC25_228,NC25_229,NC25_232,NC25_233,NC25_234,Con_NC25_1,ExNeg,PCRneg1,PCRneg4
OTU_1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber,Fungi,99.802,100,0.13105,0,0.0089,0,0.01865,0.0076,0.054549999999999994,0.04605000000000001,0.3567000000000001,0,0.0017999999999999997,0,0.09060000000000001,1.7792999999999999,0.013600000000000001,0.2664,6.340057636887608,0,0,0,0,0,50,0,11.553273427471117,0,0.26275,0,11.913357400722022,12.030075187969924,9.94475138121547,12.386706948640484,100,0,0,0,18.38235294117647,21.088050000000003,11.0503,0,32.288850000000004,6.2347,0.7535,0.0791,66.72444999999999,2.0412500000000002,42.15065,53.061550000000004,17.24495,0.0218,3.0667999999999997,0.01975,7.9140500000000005,1.2107999999999999,15.392561983471074,12.90085,81.13207547169812,16.842105263157894,64.28571428571429,15.315315315315315,33.7805,4.064,2.3609500000000003,18.938307030129124,0,0,0.1369,0.6369,0,3.409090909090909,0,0,0,0,0,0
OTU_2,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Myrotheciomycetaceae,Trichothecium,Trichothecium roseum,Fungi,97.706,93,0,0,0,0.15084999999999998,0,0,0,0.00895,0,0,0,0.5453000000000001,0,0,0.0221,0.36575,0,0,0,62.857142857142854,0,0,0,0.1419,0,0,0,0.0027,0,0,2.9005524861878453,2.5176233635448138,0,0,0,0.6756756756756757,0,0,0,0,0.006950000000000001,0.0984,0.00315,93.6377,0.02175,0.020849999999999997,0.2696,0.2459,0,0,0,0.035699999999999996,0,0,2.7892561983471076,2.4643999999999995,0,0,0,6.306306306306307,0,0,0.34995,1.5781922525107603,0,0,0,0.04555000000000001,0,0,0.37725,0.1102,0,0,0,0
OTU_3,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,Trichoderma,NA,Fungi,99.625,96,0,0,0.0082,0.0281,0,0,0,0,0,0,0,0.04775,0,0,0,0,0,53.84615384615385,0,0,0,0,0,1.3795,13.607188703465981,43.6784,10.32165,38.4418,13.35740072202166,16.2406015037594,16.574585635359117,20.241691842900302,0,0,2.380952380952381,0,0,1.8138500000000002,0,0,0,0.02315,1.2635999999999998,0.0234,0,8.500000000000001e-4,8e-4,7.000000000000001e-4,0.30955,11.602049999999998,0.37254999999999994,0.12104999999999999,0.62015,0.0653,2.37603305785124,3.2911499999999996,0,0,0,0,0.26355,0.45494999999999997,0,0,0,8.999999999999999e-4,0,0.0984,0,0,1.5095,0,0,0,0,0
OTU_5,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Teichosporaceae,Teichospora,Teichospora pusilla,Fungi,99.568,92,0,0.259,0,0,0,0,0,0,0.00855,0.23824999999999996,0,0,0,0,9.5e-4,0,0,0,0,0,0,0,0,0,0,1.4056,0,0,0,0,0,0,0,100,0,0,0,0,0,0,1e-4,0.02925,0,0,0,0,0,0,0.1217,0.0030499999999999998,0,0,0,0,0,0,1.8867924528301887,2.6315789473684212,0,0,0,0,0,0,77.12759999999999,87.81569999999999,0.2271,0.61845,20.149253731343283,39.20454545454545,7.7366,6.19125,0,100,0,0
OTU_6,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brevicompactum,Fungi,99.797,93,0,0,0.004900000000000001,0.022400000000000003,0,0,0.0081,0,0.020200000000000003,0.528,0,0.024099999999999996,0.00525,0.2604,0,0,0,0,0,0,0.273224043715847,0,0,33.9519,11.938382541720154,11.948799999999999,5.8533,11.25415,25.63176895306859,14.736842105263158,19.337016574585636,13.897280966767372,0,0,7.653061224489796,5.743243243243243,0,6.17005,3.23525,0,0.76735,0.46675000000000005,1.3401999999999998,0.08915,2.6518999999999995,1.73045,6.1737,0.055450000000000006,4.64575,2.1285499999999997,1.35175,1.3558999999999999,2.74965,0.1263,6.818181818181818,1.29615,9.433962264150944,6.315789473684211,35.714285714285715,18.91891891891892,21.11875,2.5365,0.383,1.291248206599713,0,0,0,0.2201,38.059701492537314,0,67.1752,0,0,0,0,0
OTU_7,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Parasitella,Parasitella quercicola,Fungi,96.906,94,0,0,0.0192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115,0.00425,12.854949999999999,0.0021000000000000003,0.0019,0.0013,0.0010999999999999998,7.5e-4,0,0,0.1426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_9,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus penicillioides,Fungi,97.770,93,0,0,0,0,0,0,0,0.01335,0,0,0,0,0,0,0,0.01085,0,0,0,0,0,0,0,0,0.6418485237483954,0,0,0,0,0,1.2430939226519337,4.531722054380665,0,0,0,0,0,0,0,0,0.33175,0.2875,0.0111,0.055850000000000004,0.12635000000000002,0.05959999999999999,2.4036500000000003,14.955449999999999,9.5413,0.00205,0.05115,0.013450000000000002,0,0,2.169421487603306,5.27645,0,0,0,0,0.44805,0,0,1.291248206599713,0,0,0,0.02375,0,0,0,0,0,0,0,0
OTU_10,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Aspergillus,Aspergillus ruber,Fungi,100.000,100,0,0.9836999999999999,0,0,0,0,0,0,0,0.1292,0,0,0,0,0,0,0,46.15384615384615,0,0,4.371584699453552,0,0,0,0,4.04145,0,0,0,0,0,0,0,0,0,0,6.801470588235294,5.139200000000001,0,0,0.31615000000000004,81.27575,0.0359,0.009,0.1105,0.04265,0.26105,4.97975,0,0.00885,0,0,0,0,0,0,0,0,0,0,2.3992000000000004,0,0,0,0,0.001,0,0,0,0,0,0.223,0,0,0,0
OTU_11,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,NA,Fungi,99.792,90,0,0.20445000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.668806161745828,9.31965,0,1.1270499999999999,3.9711191335740073,1.9548872180451127,1.6574585635359116,1.309164149043303,0,0,0,0,0,0.9694499999999999,0,0,0.5091,0.13985,0.019149999999999997,0.004200000000000001,0.0349,0.00645,0.7841,0.0075,1.9954999999999998,18.4817,0.688,0.22410000000000002,4.8437,0.56845,6.921487603305785,7.46995,0,3.1578947368421053,0,0,1.8206,0,0,0,0,5.499999999999999e-4,0,0,0,0,0,0,100,0,0,0
OTU_12,Fungi,Mucoromycota,Mucoromycetes,Mucorales,Mucoraceae,Mucor,Mucor circinelloides,Fungi,99.818,93,0.0718,0,0,0,0,0,0,0,0,0,0.0030499999999999998,0.009049999999999999,0,0,0,0,1.0086455331412103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.45155,0.011550000000000001,4.67455,0.0073,0,0.00275,0.00195,0.0014500000000000001,0.31405,0,0.24885000000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5e-4,0,0,0,0,0,1.3417999999999999,0,0,0,0
