Name,Lat-Lon
GLF_DOWNSTRM_GRASS-1,"35.6232978, -82.3304456"
PW_RIVERPROX_HERB-1,35°36′44″ N  82°19′16″ W
VP_FLOOD_SHRUB-1,"35.6074252, -82.3381415"
PW_HILLSIDE_HERB-1,35°36′48″ N  82°19′15″ W
GLF_DWNSTRM_RIVERDIST_3M_HERB-1,"35.6232978, -82.3304456"
VP_FLOOD_HERB-1,"35.6074252, -82.3381415"
GLF_RIVERDIST_45M_HERB-1,"35.6236532, -82.3301469"
GLF_RIVERDIST_45M_GRASS-1,"35.6236532, -82.3301469"
GLF_UPSTRM_RIVERDIST_4M_GRASS-1,"35.6237870, -82.3307132"
VP_DRY_HERB-1,"35.6074252, -82.3381415"
GLF_UPSTRM_RIVERDIST_HERB-1,"35.6238576, -82.3304302"
VP_DWNSTRM_HERB-1,"35.6078927, -82.3382391"
GLF_RIVERDIST_85M_GRASS-1,"35.6239652, -82.3298471"
PW_ENTRANCE_HERB-1,35°36′47″ N  82°19′14″ W
GLF_UPSTRM_RIVERDIST_GRASS-1,"35.6238576, -82.3304302"
GLF_RIVERDIST_85M_HERB-1,"35.6239652, -82.3298471"
PW_DRYWALL_INNER-1,"35°36′46.8″N, 82°19′13″W"
PW_DRYWALL_ADHESIVE-1,"35°36′46.8″N, 82°19′13″W"
PW_CONCRETE_FLOOD-1,"35°36′46.8″N, 82°19′13″W"
PW_METAL_FLOOD-1,"35°36′46.8″N, 82°19′13″W"
PW_PLASTIC_FLOOD-1,"35°36′47″N, 82°19′14.4″W"
PW_METAL_FLOOD-2,"35°36′48.8″N, 82°19′15.3″W"
PW_CONCRETE_FLOOD-2,"35°36′48.1″N, 82°19′15.1″W"
PW_WOOD_CLEANED-1,"35°36′47.2″N, 82°19′15.4″W"
PW_PORCEL_SINK-1,35°36′49″ N  82°19′12″ W
PW_PVC_DRAIN_OUTER-1,"35°36′47.7″N, 82°19′12.8″W"
PW_WOOD_SINK-1,"35°36′47.7″N, 82°19′12.8″W"
PW_PLASTIC_FLOOD-2,"35°36′47.2″N, 82°19′13.2″W"
PW_BATHROOM-1,35°36′49″ N  82°19′12″ W
PW_BATHROOM-2,35°36′49″ N  82°19′12″ W
